stim,id,age,AUC_sal,AUC_dist,age_group,precision,watched
Dogs,85,958,0.59342,0.6288,2-4 y,1.692857143,2
Feist,86,631,0.59365,0.54505,1.5-2 y,1.871428571,2
Pentatonix,86,631,0.53096,0.6071,1.5-2 y,1.871428571,2
Science,86,631,0.72064,0.56972,1.5-2 y,1.871428571,2
Plane,86,631,0.4151,0.48513,1.5-2 y,1.871428571,2
Dogs,86,631,0.56219,0.46401,1.5-2 y,1.871428571,2
Feist,87,344,0.67976,0.67312,.5-1 y,1.325,1
Pentatonix,87,344,0.59833,0.73806,.5-1 y,1.325,1
Plane,87,344,0.55692,0.61118,.5-1 y,1.325,2
Dogs,87,344,0.59606,0.64138,.5-1 y,1.325,2
Feist,88,271,0.60705,0.64032,.5-1 y,1.25,2
Science,88,271,0.71977,0.74953,.5-1 y,1.25,2
Plane,88,271,0.71407,0.67821,.5-1 y,1.25,2
Dogs,88,271,0.58504,0.66145,.5-1 y,1.25,2
Feist,90,725,0.55916,0.58578,1.5-2 y,1.314285714,2
Pentatonix,90,725,0.63217,0.68673,1.5-2 y,1.314285714,2
Science,90,725,0.57118,0.58814,1.5-2 y,1.314285714,2
Plane,90,725,0.52717,0.57842,1.5-2 y,1.314285714,2
Dogs,90,725,0.61122,0.57586,1.5-2 y,1.314285714,2
Feist,91,571,0.54625,0.5849,1.5-2 y,1.4,2
Pentatonix,91,571,0.49867,0.55768,1.5-2 y,1.4,2
Science,91,571,0.744,0.60621,1.5-2 y,1.4,2
Plane,91,571,0.5152,0.57215,1.5-2 y,1.4,2
Dogs,91,571,0.48148,0.44919,1.5-2 y,1.4,2
Feist,92,590,0.62694,0.67036,1.5-2 y,1.628571429,2
Pentatonix,92,590,0.62896,0.67979,1.5-2 y,1.628571429,2
Science,92,590,0.62999,0.64383,1.5-2 y,1.628571429,2
Plane,92,590,0.57219,0.62899,1.5-2 y,1.628571429,2
Dogs,92,590,0.56584,0.57412,1.5-2 y,1.628571429,2
Feist,94,656,0.55595,0.49197,1.5-2 y,2.128571429,2
Pentatonix,94,656,0.56994,0.47507,1.5-2 y,2.128571429,2
Science,94,656,0.69747,0.59448,1.5-2 y,2.128571429,2
Plane,94,656,0.55256,0.54009,1.5-2 y,2.128571429,2
Dogs,94,656,0.62269,0.50104,1.5-2 y,2.128571429,2
Feist,95,539,0.56814,0.49651,1-1.5 y,1.707142857,2
Pentatonix,95,539,0.58517,0.60208,1-1.5 y,1.707142857,2
Science,95,539,0.63695,0.56594,1-1.5 y,1.707142857,2
Plane,95,539,0.55507,0.58207,1-1.5 y,1.707142857,2
Dogs,95,539,0.55164,0.6545,1-1.5 y,1.707142857,2
Feist,96,648,0.60439,0.58687,1.5-2 y,1.428571429,2
Pentatonix,96,648,0.57521,0.67685,1.5-2 y,1.428571429,2
Science,96,648,0.65874,0.70431,1.5-2 y,1.428571429,2
Plane,96,648,0.51176,0.46149,1.5-2 y,1.428571429,2
Dogs,96,648,0.51792,0.44414,1.5-2 y,1.428571429,2
Feist,97,569,0.65397,0.61175,1.5-2 y,1.207142857,2
Pentatonix,97,569,0.56288,0.60214,1.5-2 y,1.207142857,2
Science,97,569,0.6885,0.71036,1.5-2 y,1.207142857,2
Plane,97,569,0.61961,0.65875,1.5-2 y,1.207142857,2
Dogs,97,569,0.63445,0.60971,1.5-2 y,1.207142857,2
Feist,98,316,0.56503,0.51993,.5-1 y,2.125,2
Pentatonix,98,316,0.56471,0.63397,.5-1 y,2.125,2
Plane,98,316,0.61479,0.58632,.5-1 y,2.125,2
Dogs,98,316,0.62193,0.65775,.5-1 y,2.125,2
Feist,99,343,0.63829,0.55298,.5-1 y,1.725,2
Pentatonix,99,343,0.54444,0.50919,.5-1 y,1.725,2
Science,99,343,0.66533,0.68634,.5-1 y,1.725,2
Plane,99,343,0.57156,0.54082,.5-1 y,1.725,2
Dogs,99,343,0.6015,0.58596,.5-1 y,1.725,2
Feist,101,461,0.56112,0.66976,1-1.5 y,1.342857143,3
Pentatonix,101,461,0.60295,0.69956,1-1.5 y,1.342857143,1
Science,101,461,0.63937,0.69468,1-1.5 y,1.342857143,2
Plane,101,461,0.56875,0.57095,1-1.5 y,1.342857143,2
Dogs,101,461,0.50981,0.55657,1-1.5 y,1.342857143,2
Feist,102,312,0.63338,0.65997,.5-1 y,1.7625,2
Pentatonix,102,312,0.63929,0.62298,.5-1 y,1.7625,2
Plane,102,312,0.52407,0.57857,.5-1 y,1.7625,2
Plane,103,197,0.53156,0.45566,.5-1 y,1.35,2
Plane,105,273,0.47483,0.41201,.5-1 y,1.25,2
Feist,106,465,0.60134,0.71229,1-1.5 y,1.471428571,2
Pentatonix,106,465,0.51035,0.57245,1-1.5 y,1.471428571,2
Science,106,465,0.65823,0.61203,1-1.5 y,1.471428571,2
Plane,106,465,0.57786,0.53563,1-1.5 y,1.471428571,2
Dogs,106,465,0.52336,0.4805,1-1.5 y,1.471428571,2
Feist,108,194,0.6237,0.58747,.5-1 y,4.1,2
Pentatonix,108,194,0.57016,0.61872,.5-1 y,4.1,2
Science,108,194,0.68565,0.76453,.5-1 y,4.1,2
Plane,108,194,0.55109,0.57446,.5-1 y,4.1,2
Dogs,108,194,0.58014,0.65896,.5-1 y,4.1,2
Feist,109,504,0.58195,0.59962,1-1.5 y,1.357142857,2
Pentatonix,109,504,0.56757,0.624,1-1.5 y,1.357142857,2
Science,109,504,0.64674,0.63433,1-1.5 y,1.357142857,2
Plane,109,504,0.53653,0.57252,1-1.5 y,1.357142857,2
Dogs,109,504,0.551,0.53424,1-1.5 y,1.357142857,2
Feist,110,331,0.54176,0.55049,.5-1 y,1.728571429,2
Pentatonix,110,331,0.59777,0.69015,.5-1 y,1.728571429,2
Science,110,331,0.65592,0.69622,.5-1 y,1.728571429,2
Plane,110,331,0.56811,0.58553,.5-1 y,1.728571429,2
